Moneda,Fecha,Market_Cap
bitcoin,2019-11-21,137741605692.4732
bitcoin,2019-11-22,131796120680.40385
bitcoin,2019-11-23,132153647357.58482
bitcoin,2019-11-24,126056411448.4486
bitcoin,2019-11-25,128442554040.63123
bitcoin,2019-11-26,129550686418.96344
bitcoin,2019-11-27,135280930611.90535
bitcoin,2019-11-28,134540136588.5858
bitcoin,2019-11-29,139585890644.02713
bitcoin,2019-11-30,136619988247.82372
bitcoin,2019-12-01,133806709251.17145
bitcoin,2019-12-02,132186853223.4845
bitcoin,2019-12-03,131920184619.24728
bitcoin,2019-12-04,130707605071.54597
bitcoin,2019-12-05,133644089121.62451
bitcoin,2019-12-06,135763797983.31136
bitcoin,2019-12-07,135655571430.9959
bitcoin,2019-12-08,135886870643.2531
bitcoin,2019-12-09,133091781420.79082
bitcoin,2019-12-10,130970047495.47795
bitcoin,2019-12-11,130242932604.26935
bitcoin,2019-12-12,130489545691.80917
bitcoin,2019-12-13,131188243085.0565
bitcoin,2019-12-14,128114177662.37697
bitcoin,2019-12-15,128886696696.6067
bitcoin,2019-12-16,124984942945.9272
bitcoin,2019-12-17,119931733577.11955
bitcoin,2019-12-18,131230049166.53404
bitcoin,2019-12-19,129498636860.963
bitcoin,2019-12-20,130122764301.36633
bitcoin,2019-12-21,129342305760.32504
bitcoin,2019-12-22,135086328271.26213
bitcoin,2019-12-23,132931613272.25092
bitcoin,2019-12-24,131358497318.59528
bitcoin,2019-12-25,130643567866.79239
bitcoin,2019-12-26,130768750218.36032
bitcoin,2019-12-27,131349923253.42535
bitcoin,2019-12-28,132567576727.86806
bitcoin,2019-12-29,133997529973.30914
bitcoin,2019-12-30,131377523457.07199
bitcoin,2019-12-31,130394101535.60994
bitcoin,2020-01-01,130422953817.668
bitcoin,2020-01-02,126280790200.20206
bitcoin,2020-01-03,132766262579.09486
bitcoin,2020-01-04,133474716218.18333
bitcoin,2020-01-05,133388991086.87987
bitcoin,2020-01-06,140557168287.4443
bitcoin,2020-01-07,147798610895.50055
bitcoin,2020-01-08,146089575425.2795
bitcoin,2020-01-09,141913856953.47913
bitcoin,2020-01-10,146879934259.3087
bitcoin,2020-01-11,145561586658.57422
bitcoin,2020-01-12,148204228775.38776
